English Term;spanish term
Abroad;En el extranjero
Accommodation;Acomodo
Accredited Representative;Representante Acreditado
Acquired citizenship;Ciudadanía Derivada
Adjourn;propostar
Adjournment;aplazamiento
Adjudicate;Adjudicar
Adjudication;Adjudicación
Adjustment of Status;Ajuste de Estatus
Adjustment to immigrant status;Ajuste al Estatus de Inmigrante
Admissibility;Admisibilidad
Admission;Admisión
Admission Number;Número de Admisión
Adopted decision;Decisión Adoptada
Advance Parole;Permiso Adelantado
Affidavit;Afidávit
Affidavit of Support;Declaración de Patrocinio Económico
Agricultural worker;Trabajador agrícola
Alien;Extranjero
Alien Number;Número de Extranjero
Alien Registration Number;Número de Registro de Extranjero
Alternatives to detention;Alternativas a la detención
Amerasian;Amerasiático
Amerasian Act;Ley Amerasiática
A-Number;Número A
applicant;solicitante
Application Support Center;Centro de Asistencia en Solicitudes
Apprehension;Aprehensión
Arranged marriage;Matrimonio Arreglado
arrest;Detención
arrival;llegada
Arrival-Departure Record;Registro de Entrada / Salida
Asylee;Asilado
asylum;asilo
Asylum seeker;Solicitante de asilo
Attorney of record;Abogado en registro
Au Pair Program;Programa de Cuidado de Niños
Authorized provider;Proveedor Autorizado
Beneficiary;Beneficiario
benefit;beneficio
Bilateral labour migration agreements;Acuerdos bilaterales de migración laboral
Biometrics;Biometría
Blanket waiver;Exención general
Board of Immigration Appeals;Junta de Apelaciones de Inmigración
Bond;Fianza
Bond proceedings;Procedimientos de fianza
border control;control frontera
Border crosser;Cruce fronterizo
Border governance;Gobernanza de fronteras
Border management;Gestión de fronteras
Borders;Fronteras
Burden of proof;Responsabilidad de prueba
business;negocio
Business nonimmigrant;No inmigrante por negocios
Cap-gap extension;Extensión para Cubierta de Brecha
Carrier documentation;Documentación de Transporte
Casual domestic employment;Empleo doméstico casual
Certificate of Citizenship;Certificado de Ciudadanía
Certificate of Naturalization;Certificado de Naturalización
Certificate of Translation;Certificado de Traducción
Child;Hijo
citizenship;ciudadania
Civil surgeon;Médico civil
Climate migration;Migración por motivos climáticos
Code of Federal Regulations;Código de Regulaciones Federales
Collective expulsion;Expulsión colectiva
compensation;compensacion
Conditional resident;Residente condicional
consulate;consulado
Continuing approval;Aprobación continua
Continuing denial;Denegación continua
Continuous residence;Residencia continua
contract;contrato
Country of;País de
Country of destination;País de destino
Country of origin;País de origen
Country of transit;País de tránsito
Crewman;Tripulante
Cuban;Entrante cubano/haitiano
Curricular practical training;Capacitación Práctica Curricular
customs;aduana
Cut-off date;Fecha de Corte
Defensive asylum application;Solicitud de Asilo Defensivo
Deferred action;Acción Diferida
Deferred Enforced Departure;Salida Forzosa Diferida
Denial;Denegación
Department of Homeland Security;Departamento de Seguridad Nacional
Department of Justice;Departamento de Justicia
Department of Labor;Departamento del Trabajo
Deportable alien;Extranjero Removible
Deportation;deportacion
Derivative citizenship;Ciudadanía derivada
Derivatives;Derivados
Designated school official;Oficial Escolar Designado
diaspora;diaspora
Employees with Disabilities;Empleados con Discapacidades
Disaster relief;Ayuda por Desastre
Discretion;Discreción
discriminate;discriminar
Discrimination;Discriminación
Displacement;Desplazamiento
Diversity;Diversidad
Docket control;Control de expedientes
Domestic worker;Empleado doméstico
Duration of status;Duración de Estatus
earning;ganancia
EB-5 Immigrant Investor;EB-5 Inversionista Inmigrante
economy;economia
embassy;embajada
emigrant;emigrante
emigrate;emigrar
Emigration;emigracion
Employee;Empleado
Employer;empleador
Employer sanctions;Sanciones al empleador
Employment;empleo
Employment Authorization Document;Documento de Autorización de Empleo
Environmental migrant;Migrante por motivos ambientales
Equal Employment Opportunity Commission;Comisión para la Igualdad de Oportunidades en el Empleo
Exchange visitor;Visitante de intercambio
Executive action;Acción Ejecutiva
Expulsion;Expulsión
F-1 Nonimmigrant Student;Estudiante No Inmigrante F-1
Family reunification;Reunificación familiar
Family unity;Unidad familiar
Female genital mutilation;Corte Genital Femenino
Field office;Oficina local
Files control office;Oficina de control de archivos
Fiscal year;Año Fiscal
Forced marriage;Matrimonio Forzado
Foreign government official;Funcionario de gobierno extranjero
Foreign information media representative;Representante de medios de comunicación extranjeros
Foreign national;ciudadano extranjero
