english_term;spanish_term;migrationsbezug_eng;migrationsbezug_spa;polysemie_eng;polysemie_spa;topic_number;topic;migrationsbezug_equal;migrationsbezug_any;migrationsbezug_both;qs_position;qs_eng;qs_spa;bundesstaat;stadt;land;uhrzeit;land_gruppe;qs_identifier_en;term_qs_identifier_en;qs_identifier_es;term_qs_identifier_es;qs_migrationsbezug_eng_final;status_eng_final;error_message_eng_final;qs_migrationsbezug_spa_final;status_spa_final;error_message_spa_final
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;1;accredited representative;representante acreditado de inmigración;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_427dc25e97abf23f814db9d5602aa6d53e7dd3a5;en_tq_811225e4d7dda3fccb5472109e4458cac87ea15a;es_e1fc990c21c0b2f349729eb44413b465f38ab97b;es_tq_b95c5421c60e46a01a5e20550fdb469e8ca7ff23;0;ok;;1;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;2;accredited representative meaning;representante acreditado;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_3ae2a0e70bd382af4a83899b8885515d2ede38ad;en_tq_efc69cb4aab47f72ba303cf6bfa8928450a88717;es_cfe85579e9156f2452a281e407c799437666f102;es_tq_b3354e431d128daa11ed05b87b5f5f333b6d8e84;0;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;3;accredited representative portal;representante acreditado del doj;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_14eaca7b18b624e38e75019271da69ea112f9a01;en_tq_7fe91fd620d37881ba4368de95f2d9ca6acfb72b;es_9c3dc9e98d08cc08a9ec4f8994bf352e49ea965e;es_tq_a891d5abdbaeb2e7bf403ade23a742b574a5ace0;1;ok;;1;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;4;accredited representative immigration;representante legal acreditado;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_fe0ec19c712b6a18e87bfcc478655d6f6258e15b;en_tq_5161d60839eb211867b173684ff4cf1b3c1b09de;es_ce4334e2a7d9479ebf35249aaa0e9f5a0b8e3ee1;es_tq_fc2bbe974ddec19502fb2c8ac520ed0cacb54a5a;1;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;5;accredited representative crossword clue;representante debidamente acreditado;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_320eec9536d479f29179d78b872244f681bc786a;en_tq_7db511e9fd671f25a6ec28991499df5b9cfaf995;es_a70dcfb1fddbe3ab3aa6f2a308510d3f632e1f11;es_tq_bfa0636a9e7d3646d43d7be9298bad6a83669a8a;0;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;6;accredited representative uscis;uscis representante acreditado;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_bfd57dd8190bb9cd9794f338720e71c0358782d3;en_tq_33ec6d8b79a567099814e9b625ff22c8de198765;es_b25fe7a36a9447fe12f71ff04e6d75bc6110aeac;es_tq_65f30e491fc8d6dbcc74b0f8004d41fe08d8496f;1;ok;;1;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;7;accredited representative doj;abogado o representante acreditado;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_d6091e8aa1cfd501f1fedde9aa36b6c6ed698a14;en_tq_57a432931f53bda4bc3b0e14333aacf5b83986d8;es_003ce833c4499997b9945df738a10c9f3caa453c;es_tq_b411952cd058377252a72a1c5521c2c5e5db4be9;1;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;8;accredited representatives roster;representante legal debidamente acreditado ante la ue;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_7143ac25b84b28baabe071f291b225062e3968b3;en_tq_98edf3aa184264da3d3569e91734e1d6fc3afa3b;es_a44ff0243c2781a6b7098d48d2e572d8ac79008c;es_tq_097eaa0ca2f3b3d0274fd7245ec6f04c78812838;1;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;9;accredited representative portal (arp);representaciones acreditadas en mexico;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_cd714ed9fde9fb5ff5a9378c282cbdb4bce60739;en_tq_0a403f7c527df8c1514e8a12cfd26658265c64eb;es_bc92c00814b0323d79e4a98faf77c9e38173cc2f;es_tq_54899a13404e982df3a3e514a307c94f852f5d1f;1;ok;;0;ok;
Accredited Representative;Representante Acreditado;0;0;1;1;4;Institutionen, Akteure, rechtliche Strukturen;1;0;0;10;accredited representative va;acreditacion del representante legal;Aguascalientes;Aguascalientes;Mexiko;2026-03-15 08:42:08 CST (-0600);mexiko;en_36d5be96a4483920b01db08d13a5208c767598a8;en_tq_376fc7b57fc1f8ddea4f003fe9089bcd8279bda6;es_fb749ab9b034910ffd42d38e3a3cb9f4543d96ea;es_tq_b04f706d350b2a14ac4b7626ba5595a199731e38;0;ok;;0;ok;
